chunk_id,title,content,char_count,category
1,,"=== Page 1 ===
라이나손해보험은 에이스아메리칸화재해상보험의 브랜드명으로 , 라이나생명과 독립된 계열회사입니다 .라이나손해보험
(에이스아메리칸화재해상보험 ), 
처브그룹 컴퍼니
03156 서울시 종로구 삼봉로 48
라이나타워 14,15 층대표번호 +82 2 2127 2400
고객센터 1566 5800
www.chubb.com/kr
© 2025 처브그룹 . Chubb®, 처브 로고 그리고 Chubb. Insured.SM 는 처브그룹의 등록상표입니다 . 
06/2025 1Chubb 해외여행보험 보통약관
제 1 관 일반사항 및 용어의 정의",308,용어정의
2,제1조(목적),"제1조(목적)
 
이 보험계약 (이하 ‘계약’이라 합니다 )은 보험계약자 (이하 ‘계약자 ’라 합니다 )와 보험회사 (이하 ‘회사’라 합니다 ) 
사이에 피보험자의 해외여행중 상해에 대한 위험을 보장하기 위하여 체결됩니다 .",126,기타
3,제2조(용어의 정의),"제2조(용어의 정의)
 
이 계약에서 사용되는 용어의 정의는 , 이 계약의 다른 조항에서 달리 정의되지 않는 한 다음과 같습니다 .
1.계약관계 관련 용어
가.계약자 : 회사와 계약을 체결하고 보험료를 납입할 의무를 지는 사람을 말합니다 . 
나.보험수익자 : 보험금 지급사유가 발생하는 때에 회사에 보험금을 청구하여 받을 수 있는 사람을 말합니다 .
다.보험증권 : 계약의 성립과 그 내용을 증명하기 위하여 회사가 계약자에게 드리는 증서를 말합니다 .
라.진단계약 : 계약을 체결하기 위하여 피보험자가 건강진단을 받아야 하는 계약을 말합니다 . 
마.피보험자 : 보험사고의 대상이 되는 사람을 말합니다 .
2.지급사유 관련 용어
가.상해: 보험기간 중에 발생한 급격하고도 우연한 외래의 사고로 신체(의수, 의족, 의안, 의치 등 
신체보조장구는 제외하나 , 인공장기나 부분 의치 등 신체에 이식되어 그 기능을 대신할 경우는 포함합니다 )에 
입은 상해를 말합니다 .
나.장해: <별표 1> 장",1356,보장내용
4,제3조(보험금의 지급사유 ),"제3조(보험금의 지급사유 )
 
회사는 보험기간 중 피보험자가 보험증권에 기재된 해외여행을 목적으로 주거지를 출발하여 여행을 마치고 
주거지에 도착할 때까지의 여행 도중에 다음 중 어느 하나의 사유가 발생한 경우에는 보험수익자에게 약정한 
보험금을 지급합니다 .
1.보험기간 중에 상해의 직접결과로써 사망한 경우(질병으로 인한 사망은 제외합니다 ): 사망보험금
2.보험기간 중 상해로 장해분류표 (<별표 1> 참조)에서 정한 각 장해지급률에 해당하는 장해상태가 되었을 때: 
후유장해보험금 (장해분류표에서 정한 지급률을 보험가입금액에 곱하여 산출한 금액)",311,보장내용
5,제3조(보험금의 지급사유 ),"제3조(보험금의 지급사유 )
 제1호 ‘사망’에는 보험기간에 다음 어느 하나의 사유가 발생한 경우를 포함합니다 . 
1.실종선고를 받은 경우: 법원에서 인정한 실종기간이 끝나는 때에 사망한 것으로 봅니다 .
2.관공서에서 수해, 화재나 그 밖의 재난을 조사하고 사망한 것으로 통보하는 경우: 가족관계등록부에 기재된 
사망연월일을 기준으로 합니다 .
【실종선고 】어떤 사람의 생사불명의 상태가 일정기간 이상 계속될 때 이해관계가 있는 사람의 청구에 의해 
사망한 것으로 인정하고 신분이나 재산에 관한 모든 법적 관계를 확정시키는 법원의 결정을 말합니다 .
②“호스피스 ․완화의료 및 임종과정에 있는 환자의 연명의료 결정에 관한 법률”에 따른 연명의료중단등결정 및 
그 이행으로 피보험자가 사망하는 경우 연명의료중단등결정 및 그 이행은",410,보장내용
6,제3조(보험금의 지급사유 ),"제3조(보험금의 지급사유 )
 제2호에서 장해지급률이 상해 발생일부터 180일 이내에 확정되지 않는 경우에는 
상해 발생일부터 180일이 되는 날의 의사 진단에 기초하여 고정될 것으로 인정되는 상태를 장해지급률로 
결정합니다 . 다만, 장해분류표 (<별표 1> 참조)에 장해판정시기를 별도로 정한 경우에는 그에 따릅니다 .
④제3항에 따라 장해지급률이 결정되었으나 그 이후 보장받을 수 있는 기간(계약의 효력이 없어진 경우에는 
상해 발생일부터 1년 이내)에 장해상태가 더 악화된 때에는 그 악화된 장해상태를 기준으로 장해지급률을 
결정합니다 .
⑤장해분류표에 해당되지 않는 후유장해는 피보험자의 직업, 연령, 신분 또는 성별 등에 관계없이 신체의 
장해정도에 따라 장해분류표의 구분에 준하여 지급액을 결정합니다 . 다만, 장해분류표의 각 장해분류별 최저 
지급률 장해정도에 이르지 않는 후유장해에 대하여는 후유장해보험금을 지급하지 않습니다 .
⑥보험수익자와 회사가",485,보장내용
7,제3조(의료기관 ),"제3조(의료기관 )
】
 ② 의료기관은 다음 각 호와 같이 구분한다 .<개정 2020. 3. 4>
 1. 의원급 의료기관 : 의원, 치과의원 , 한의원
 2. 조산원
 3. 병원급 의료기관 : 병원, 치과병원 , 한방병원 , 요양병원 , 정신병원 , 종합병원
⑦같은 상해로 두 가지 이상의 후유장해가 생긴 경우에는 후유장해 지급률을 더하여 지급합니다 . 다만, 
장해분류표의 각 신체부위별 판정기준에 별도로 정한 경우에는 그 기준에 따릅니다 .
⑧다른상해로 인하여 후유장해가 2회 이상 발생하였을 경우에는 그 때마다 이에 해당하는 후유장해지급률을 
결정합니다 . 그러나 그 후유장해가 이미 후유장해보험금을 지급받은 동일한 부위에 가중된 때에는 최종 
장해상태에 해당하는 후유장해보험금에서 이미 지급받은 후유장해보험금을 차감하여 지급합니다 . 다만, 
장해분류표의 각 신체부위별 판정기준에서 별도로 정한 경우에는 그 기준에 따릅니다 .
=== Page 3 ===
© 2025 처브그룹 . Chub",1017,보장내용
8,제5조(보험금을 지급하지 않는 사유),"제5조(보험금을 지급하지 않는 사유)
 
①회사는 다음 중 어느 한가지로 보험금 지급사유가 발생한 때에는 보험금을 지급하지 않습니다 .
1.피보험자가 고의로 자신을 해친 경우. 다만, 피보험자가 심신상실 등으로 자유로운 의사결정을 할 수 없는 
상태에서 자신을 해친 경우에는 보험금을 지급합니다 .
2.보험수익자가 고의로 피보험자를 해친 경우. 다만, 그 보험수익자가 보험금의 일부 보험수익자인 경우에는 
다른 보험수익자에 대한 보험금은 지급합니다 .
3.계약자가 고의로 피보험자를 해친 경우
4.피보험자의 임신, 출산(제왕절개를 포함합니다 ), 산후기 . 그러나 , 회사가 보장하는 보험금 지급사유로 인한 
경우에는 보험금을 지급합니다 .
5.전쟁, 외국의 무력행사 , 혁명, 내란, 사변, 폭동
②회사는 다른 약정이 없으면 피보험자가 직업, 직무 또는 동호회 활동목적으로 아래에 열거된 행위로 인하여",451,보장내용
9,제3조(보험금의 지급사유 ),"제3조(보험금의 지급사유 )
의 상해 관련 보험금 지급사유가 발생한 때에는 해당 보험금을 지급하지 않습니다 .
1.전문등반 (전문적인 등산용구를 사용하여 암벽 또는 빙벽을 오르내리거나 특수한 기술, 경험, 사전훈련을 
필요로 하는 등반을 말합니다 ), 글라이더 조종, 스카이다이빙 , 스쿠버다이빙 , 행글라이딩 , 수상보트 , 
패러글라이딩
2.모터보트 , 자동차 또는 오토바이에 의한 경기, 시범, 흥행(이를 위한 연습을 포함합니다 ) 또는 시운전 (다만, 
공용도로상에서 시운전을 하는 동안 보험금 지급사유가 발생한 경우에는 보장합니다 )
3.선박에 탑승하는 것을 직무로 하는 사람이 직무상 선박에 탑승하고 있는 동안",348,보장내용
10,제7조(보험금의 청구),"제7조(보험금의 청구)
 
①보험수익자는 다음의 서류를 제출하고 보험금을 청구하여야 합니다 .
1.청구서 (회사 양식)
2.사고증명서 (진료비계산서 , 사망진단서 , 장해진단서 , 입원치료확인서 , 의사처방전 (처방조제비 ) 등) 
3.신분증 (주민등록증이나 운전면허증 등 본인임을 확인할 수 있는 사진이 붙은 정부기관에서 발행한 신분증 , 
본인이 아닌 경우에는 본인의 인감증명서 , 본인서명사실확인서 또는 안전성과 신뢰성이 확보된 전자적 수단을 
활용한 보험수익자 의사표시의 확인방법 포함)
4.그 밖에 보험수익자가 보험금 수령에 필요하여 제출하는 서류
②제1항 제2호의 사고증명서는 의료법",333,필요서류
